iso3,country,un_region,r,g0,g0_year,vdem_year,delta_g_per_capita,total_deficit_usd,population,ind1_name,ind1_raw,ind1_yes,ind2_name,ind2_raw,ind2_yes,ind3_name,ind3_raw,ind3_yes,ind4_name,ind4_raw,ind4_yes,ind5_name,ind5_raw,ind5_yes,ind6_name,ind6_raw,ind6_yes,ind7_name,ind7_raw,ind7_yes,ind8_name,ind8_raw,ind8_yes,ind9_name,ind9_raw,ind9_yes
CHN,China,Eastern Asia,0.0,13303.1481543868,2026,2024,665.15740771934,937190158541.357,1408975000.0,Existence of Legal Protections,-0.947,No,Independent Judiciary,-2.428,No,Law Enforcement Accountability,0.308,No,Protection Against Arbitrary Detention,0.4,No,Freedom from Torture and Inhumane Treatment,-1.327,No,Civilian Protection in Conflict Zones,0.308,No,Access to Justice,0.4,No,Freedom of Expression and Whistleblower Protections,0.048,No,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
USA,United States,Northern America,0.6666666666666667,84534.0407841548,2026,2024,1408.900679735913,479182602178.8529,340110988.0,Existence of Legal Protections,1.965,No,Independent Judiciary,1.8885,No,Law Enforcement Accountability,2.905,Yes,Protection Against Arbitrary Detention,0.935,Yes,Freedom from Torture and Inhumane Treatment,1.971,No,Civilian Protection in Conflict Zones,2.905,Yes,Access to Justice,0.935,Yes,Freedom of Expression and Whistleblower Protections,0.915,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=1.1% (thresh <=5% and <=10%)",Yes
IND,India,Southern Asia,0.0,2694.73780859961,2026,2024,134.73689042998052,195494576692.9041,1450935791.0,Existence of Legal Protections,0.221,No,Independent Judiciary,0.8305,No,Law Enforcement Accountability,0.185,No,Protection Against Arbitrary Detention,0.496,No,Freedom from Torture and Inhumane Treatment,0.957,No,Civilian Protection in Conflict Zones,0.185,No,Access to Justice,0.496,No,Freedom of Expression and Whistleblower Protections,0.471,No,Socioeconomic Conditions,"undernourish=12.0%, poverty=100.0% (thresh <=5% and <=10%)",No
RUS,Russia,Eastern Europe,0.1111111111111111,14889.0185546875,2026,2024,661.7341579861111,94981252033.98892,143533851.0,Existence of Legal Protections,-0.977,No,Independent Judiciary,-2.5214999999999996,No,Law Enforcement Accountability,-1.083,No,Protection Against Arbitrary Detention,0.265,No,Freedom from Torture and Inhumane Treatment,-1.138,No,Civilian Protection in Conflict Zones,-1.083,No,Access to Justice,0.265,No,Freedom of Expression and Whistleblower Protections,0.101,No,Socioeconomic Conditions,"undernourish=2.5%, poverty=0.1% (thresh <=5% and <=10%)",Yes
MEX,Mexico,Central America,0.2222222222222222,14185.7812248529,2026,2024,551.6692698553906,72191996184.23116,130861007.0,Existence of Legal Protections,-1.15,No,Independent Judiciary,0.4025,No,Law Enforcement Accountability,-0.008,No,Protection Against Arbitrary Detention,0.401,No,Freedom from Torture and Inhumane Treatment,-0.558,No,Civilian Protection in Conflict Zones,-0.008,No,Access to Justice,0.401,No,Freedom of Expression and Whistleblower Protections,0.604,Yes,Socioeconomic Conditions,"undernourish=2.7%, poverty=1.6% (thresh <=5% and <=10%)",Yes
JPN,Japan,Eastern Asia,0.6666666666666666,32487.0778047567,2026,2024,541.4512967459451,67126625392.50964,123975371.0,Existence of Legal Protections,2.771,Yes,Independent Judiciary,1.078,No,Law Enforcement Accountability,3.116,Yes,Protection Against Arbitrary Detention,0.956,Yes,Freedom from Torture and Inhumane Treatment,1.718,No,Civilian Protection in Conflict Zones,3.116,Yes,Access to Justice,0.956,Yes,Freedom of Expression and Whistleblower Protections,0.865,Yes,Socioeconomic Conditions,"undernourish=100.0%, poverty=100.0% (thresh <=5% and <=10%)",No
KOR,South Korea,Eastern Asia,0.3333333333333333,36238.639908315,2026,2024,1207.9546636105003,62512940313.560135,51751065.0,Existence of Legal Protections,1.426,No,Independent Judiciary,1.0065,No,Law Enforcement Accountability,1.471,No,Protection Against Arbitrary Detention,0.916,Yes,Freedom from Torture and Inhumane Treatment,1.195,No,Civilian Protection in Conflict Zones,1.471,No,Access to Justice,0.916,Yes,Freedom of Expression and Whistleblower Protections,0.756,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
SAU,Saudi Arabia,Western Asia,0.0,35121.6628687742,2026,2024,1756.08314343871,61990226666.66663,35300280.0,Existence of Legal Protections,-1.309,No,Independent Judiciary,-1.1835,No,Law Enforcement Accountability,-1.26,No,Protection Against Arbitrary Detention,0.283,No,Freedom from Torture and Inhumane Treatment,-0.827,No,Civilian Protection in Conflict Zones,-1.26,No,Access to Justice,0.283,No,Freedom of Expression and Whistleblower Protections,0.1,No,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
GBR,United Kingdom,Northern Europe,0.6666666666666666,53246.3676145108,2026,2024,887.4394602418467,61433884074.70208,69226000.0,Existence of Legal Protections,1.522,No,Independent Judiciary,2.1065,Yes,Law Enforcement Accountability,2.29,Yes,Protection Against Arbitrary Detention,0.828,Yes,Freedom from Torture and Inhumane Treatment,1.514,No,Civilian Protection in Conflict Zones,2.29,Yes,Access to Justice,0.828,Yes,Freedom of Expression and Whistleblower Protections,0.911,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
BRA,Brazil,South America,0.4444444444444444,10310.5488778166,2026,2024,286.4041354949056,60717268026.21863,211998573.0,Existence of Legal Protections,1.757,No,Independent Judiciary,1.9775,No,Law Enforcement Accountability,0.946,No,Protection Against Arbitrary Detention,0.689,Yes,Freedom from Torture and Inhumane Treatment,1.178,No,Civilian Protection in Conflict Zones,0.946,No,Access to Justice,0.689,Yes,Freedom of Expression and Whistleblower Protections,0.935,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=3.0% (thresh <=5% and <=10%)",Yes
