eurozone_rank_by_total_deficit,iso3,country,un_region,r,g0,g0_year,vdem_year,delta_g_per_capita,population,total_deficit_usd,eta
1,ITA,Italy,Southern Europe,0.6666666666666667,40385.3413957669,2026,2024,4038.5341395766895,58952704.0,238082507724.35925,0.3
2,FRA,France,Western Europe,0.7777777777777777,46103.0840855884,2026,2024,3073.538939039228,68551653.0,210696174831.0053,0.3
3,DEU,Germany,Western Europe,0.8888888888888888,56103.7323182554,2026,2024,1870.1244106085142,83516593.0,156186419260.15616,0.3
4,ESP,Spain,Southern Europe,0.7777777777777777,35326.7683069278,2026,2024,2355.117887128521,48848840.0,115044776849.47919,0.3
5,NLD,Netherlands,Western Europe,0.8888888888888888,67520.4218956281,2026,2024,2250.680729854271,17993485.0,40497589952.421875,0.3
6,AUT,Austria,Western Europe,0.7777777777777777,58268.8787651601,2026,2024,3884.591917677342,9177982.0,35652714697.788124,0.3
7,GRC,Greece,Southern Europe,0.6666666666666667,24626.1481858973,2026,2024,2462.614818589729,10405134.0,25623837177.81182,0.3
8,BGR,Bulgaria,Eastern Europe,0.4444444444444444,17596.0173663521,2026,2024,2932.6695610586835,6441421.0,18890559296.664185,0.3
9,SVK,Slovakia,Eastern Europe,0.6666666666666667,25992.6748502048,2026,2024,2599.2674850204794,5422069.0,14093407653.237505,0.3
10,PRT,Portugal,Southern Europe,0.8888888888888888,29292.242104753,2026,2024,976.4080701584337,10694681.0,10442372836.170069,0.3
11,HRV,Croatia,Southern Europe,0.7777777777777777,24050.4397933135,2026,2024,1603.3626528875673,3866200.0,6198920688.593912,0.3
12,LTU,Lithuania,Northern Europe,0.7777777777777777,29384.0189598663,2026,2024,1958.9345973244206,2888278.0,5657947700.890983,0.3
13,SVN,Slovenia,Southern Europe,0.7777777777777777,34301.0318686594,2026,2024,2286.7354579106272,2127400.0,4864801013.159068,0.3
14,CYP,Cyprus,Western Asia,0.7777777777777777,38674.29296875,2026,2024,2578.286197916668,1358282.0,3502039733.478647,0.3
15,MLT,Malta,Southern Europe,0.7777777777777777,43898.5781808597,2026,2024,2926.571878723981,568847.0,1664771633.4965005,0.3
16,LUX,Luxembourg,Western Europe,1.0,137781.681659123,2026,2024,0.0,677012.0,0.0,0.3
17,IRL,Ireland,Northern Europe,1.0,112894.953240805,2026,2024,0.0,5395790.0,0.0,0.3
18,LVA,Latvia,Northern Europe,1.0,23409.0845154775,2026,2024,0.0,1866124.0,0.0,0.3
19,EST,Estonia,Northern Europe,1.0,31428.3547816104,2026,2024,0.0,1372341.0,0.0,0.3
20,FIN,Finland,Northern Europe,1.0,53149.7671934051,2026,2024,0.0,5619911.0,0.0,0.3
21,BEL,Belgium,Western Europe,1.0,56614.5679499036,2026,2024,0.0,11858610.0,0.0,0.3
