iso3,country,UNregion,r,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
CHN,China,Eastern Asia,0.0,12951.1782397043,647.5589119852151,1408975000.0,912394318014.3684,1,1,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
IND,India,Southern Asia,0.0,2530.12031278204,126.506015639102,1450935791.0,183552105867.57883,2,1,12.0,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
USA,United States,Northern America,0.8888888888888888,81032.262117545,450.17923398636134,340110988.0,153110904048.18454,3,172,2.5,1.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
RUS,Russia,Eastern Europe,0.1111111111111111,14159.3876953125,629.3061197916667,143533851.0,90326730831.56523,4,58,2.5,0.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MEX,Mexico,Central America,0.2222222222222222,13860.9597809326,539.0373248140456,130861007.0,70538967135.7521,5,76,2.7,1.6,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SAU,Saudi Arabia,Western Asia,0.0,36156.848337701,1807.84241688505,35300280.0,63817343511.91899,6,1,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BRA,Brazil,South America,0.4444444444444444,10377.5897719195,288.2663825533195,211998573.0,61112061745.17583,7,121,2.5,3.0,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TUR,Türkiye,Western Asia,0.1111111111111111,13375.0947282864,594.4486545905066,85518661.0,50836452973.831635,8,58,2.5,0.2,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CAN,Canada,Northern America,0.5555555555555556,54220.3285039875,1204.8961889775,41288599.0,49748475583.32022,9,131,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
JPN,Japan,Eastern Asia,0.7777777777777777,33836.1756271617,375.9575069684635,123975371.0,46609471406.65035,10,161,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
IDN,Indonesia,South-eastern Asia,0.3333333333333333,4876.30774512252,162.54359150408402,283487931.0,46079146452.801956,11,90,6.3,5.4,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ITA,Italy,Southern Europe,0.6666666666666667,39277.0838783918,654.6180646398632,58952704.0,38591504997.76672,12,155,2.5,0.9,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GBR,United Kingdom,Northern Europe,0.7777777777777777,49944.4702124201,554.9385579157791,69226000.0,38416176610.277725,13,161,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
FRA,France,Western Europe,0.7777777777777777,44700.1384177544,496.6682046417158,68551653.0,34047426420.73189,14,161,2.5,0.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
KOR,South Korea,Eastern Asia,0.6666666666666666,35674.095995632,594.5682665938668,51751065.0,30769541011.43653,15,146,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ARE,United Arab Emirates,Western Asia,0.0,49850.6872175164,2492.5343608758203,10986400.0,27383979502.32611,16,1,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
DEU,Germany,Western Europe,0.8888888888888888,54776.7668235491,304.3153712419396,83516593.0,25415383003.656975,17,172,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
IRN,Iran,Southern Asia,0.0,5049.29931642754,252.46496582137704,91567738.0,23117645844.510807,18,1,6.8,2.5,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
THA,Thailand,South-eastern Asia,0.1111111111111111,7195.10130919449,319.782280408644,71668011.0,22918159989.93178,19,58,4.6,0.0,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BGD,Bangladesh,Southern Asia,0.0,2551.01773827307,127.5508869136535,173562364.0,22138033463.030365,20,1,10.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
VNM,Vietnam,South-eastern Asia,0.0,4323.35031982451,216.1675159912255,100987686.0,21830257228.32186,21,1,5.3,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
AUS,Australia,Australia and New Zealand,0.7777777777777777,65058.3773146674,722.8708590518604,27196812.0,19659782853.911945,22,161,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ESP,Spain,Southern Europe,0.7777777777777777,33493.2225409111,372.1469171212346,48848840.0,18178945210.94845,23,161,2.5,0.8,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ARG,Argentina,South America,0.4444444444444444,14261.8465667948,396.16240463318894,45696159.0,18103100231.94054,24,121,3.4,1.0,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ISR,Israel,Western Asia,0.3333333333333333,52003.7200729997,1733.457335766657,9974400.0,17290196849.870945,25,90,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PAK,Pakistan,Southern Asia,0.0,1360.32417758419,68.0162088792095,251269164.0,17090375943.528349,26,1,16.5,23.0,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
NGA,Nigeria,Western Africa,0.3333333333333333,2138.76383719983,71.29212790666102,232679478.0,16588215106.83112,27,90,19.9,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
EGY,Egypt,Northern Africa,0.2222222222222222,3456.78968456253,134.4307099552095,116538258.0,15666320759.883373,28,76,9.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
IRQ,Iraq,Western Asia,0.0,5965.31835077761,298.2659175388805,46042015.0,13732763849.3139,29,1,14.9,0.5,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
POL,Poland,Eastern Europe,0.6666666666666667,22145.2660647429,369.0877677457149,36559233.0,13493565698.465477,30,155,2.5,0.2,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ZAF,South Africa,Southern Africa,0.3333333333333333,6034.27208964673,201.14240298822438,64007187.0,12874559401.696636,31,90,10.0,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PHL,Philippines,South-eastern Asia,0.4444444444444444,3804.08274131097,105.66896503641584,115843670.0,12241080714.920095,32,121,3.0,5.3,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
KAZ,Kazakhstan,Central Asia,0.2222222222222222,12879.4275257974,500.8666260032322,20592571.0,10314131557.502007,33,76,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
COL,Colombia,South America,0.4444444444444444,7000.83660501046,194.4676834725128,52886363.0,10284688499.896412,34,121,3.9,8.5,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
DZA,Algeria,Northern Africa,0.2222222222222222,5370.477235078,208.85189247525557,46814308.0,9777256820.719496,35,76,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
QAT,Qatar,Western Asia,0.2222222222222222,81816.9797967481,3181.771436540204,2857822.0,9092936410.316198,36,76,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MYS,Malaysia,South-eastern Asia,0.5555555555555556,11386.0395636528,253.02310141450667,35557673.0,8996912701.542866,37,131,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PER,Peru,South America,0.3333333333333333,7887.54185920108,262.9180619733694,34217848.0,8996490281.059334,38,90,6.9,5.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SGP,Singapore,South-eastern Asia,0.6666666666666666,85412.230345235,1423.5371724205836,6036860.0,8593694614.698925,39,146,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
UKR,Ukraine,Eastern Europe,0.2222222222222222,5139.59814453125,199.8732611762153,37860221.0,7567245840.122231,40,76,6.9,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
