iso3,country,UNregion,r_placeholder,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
CHN,China,Eastern Asia,0.4722222222222221,13303.1481543868,351.0552985185406,1408975000.0,494628139230.16077,1,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
USA,United States,Northern America,0.7250333333333332,84534.0407841548,1162.2021707141555,340110988.0,395277728537.3361,2,161,2.5,1.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
DEU,Germany,Western Europe,0.4722222222222221,56103.7323182554,1480.5151583984068,83516593.0,123647581914.29027,3,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
JPN,Japan,Eastern Asia,0.4722222222222221,32487.0778047567,857.2978865144131,123975371.0,106283823538.14026,4,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
IND,India,Southern Asia,0.4722222222222221,2694.73780859961,71.11113661582307,1450935791.0,103177693254.58832,5,1,12.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GBR,United Kingdom,Northern Europe,0.4722222222222221,53246.3676145108,1405.1124787162576,69226000.0,97270316451.61165,6,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CAN,Canada,Northern America,0.4722222222222221,54340.3477224733,1433.9813982319347,41288599.0,59207082925.05766,7,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
KOR,South Korea,Eastern Asia,0.4722222222222221,36238.639908315,956.2974420249794,51751065.0,49489411081.56844,8,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
AUS,Australia,Australia and New Zealand,0.4722222222222221,64603.9856308464,1704.8273985917804,27196812.0,46365870251.949715,9,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
FRA,France,Western Europe,0.7280333333333332,46103.0840855884,626.9251050905266,68551653.0,42976752261.15431,10,185,2.5,0.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SAU,Saudi Arabia,Western Asia,0.4722222222222221,35121.6628687742,926.8216590370971,35300280.0,32717064074.07406,11,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ITA,Italy,Southern Europe,0.7256333333333331,40385.3413957669,554.019575047596,58952704.0,32660952017.986717,12,165,2.5,0.9,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NLD,Netherlands,Western Europe,0.4722222222222221,67520.4218956281,1781.7889111346308,17993485.0,32060592045.667313,13,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BRA,Brazil,South America,0.7193333333333332,10310.5488778166,144.6913692520264,211998573.0,30674363806.845673,14,153,2.5,3.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
RUS,Russia,Eastern Europe,0.7280333333333332,14889.0185546875,202.46583731282564,143533851.0,29060701325.449356,15,185,2.5,0.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
IDN,Indonesia,South-eastern Asia,0.5934222222222221,4925.43048751861,100.12852911071168,283487931.0,28385229551.668926,16,144,6.3,5.4,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MEX,Mexico,Central America,0.7231333333333332,14185.7812248529,196.37849808938043,130861007.0,25698288013.123898,17,156,2.7,1.6,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CHE,Switzerland,Western Europe,0.4722222222222221,103998.186685604,2744.3965930923287,9005582.0,24714888559.613598,18,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ESP,Spain,Southern Europe,0.7259333333333332,35326.7683069278,484.09448169926753,48848840.0,23647453881.410446,19,167,2.5,0.8,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TUR,Türkiye,Western Asia,0.7277333333333331,15892.7157287241,216.35283678703095,85518661.0,18502204905.57843,20,180,2.5,0.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ARE,United Arab Emirates,Western Asia,0.4722222222222221,50273.5060469837,1326.6619651287367,10986400.0,14575239013.690353,21,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SGP,Singapore,South-eastern Asia,0.4722222222222221,90674.066632628,2392.7878694721285,6036860.0,14444925377.701513,22,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ISR,Israel,Western Asia,0.4722222222222221,54176.6844383302,1429.6625060114918,9974400.0,14260025699.961023,23,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
VNM,Vietnam,South-eastern Asia,0.4722222222222221,4717.29028732449,124.48404924884075,100987686.0,12571356077.550465,24,1,5.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
POL,Poland,Eastern Europe,0.7277333333333331,25103.565661423,341.74320720417205,36559233.0,12493869538.344604,25,180,2.5,0.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BGD,Bangladesh,Southern Asia,0.4722222222222221,2593.41611680774,68.43736974909315,173562364.0,11878151679.594694,26,1,10.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MYS,Malaysia,South-eastern Asia,0.4722222222222221,11874.4273684245,313.3529444445355,35557673.0,11142101532.14596,27,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ZAF,South Africa,Southern Africa,0.4722222222222221,6267.186814093,165.38409648300976,64007187.0,10585770790.414047,28,1,10.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
EGY,Egypt,Northern Africa,0.4722222222222221,3338.47371395895,88.09861189613899,116538258.0,10266858762.594114,29,1,9.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
IRN,Iran,Southern Asia,0.6011222222222221,5190.16959024821,103.5121656224003,91567738.0,9478374861.524557,30,146,6.8,2.5,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BEL,Belgium,Western Europe,0.7280333333333332,56614.5679499036,769.8637665054395,11858610.0,9129514160.11907,31,185,2.5,0.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PAK,Pakistan,Southern Asia,0.5202222222222221,1478.77277977996,35.47411590605483,251269164.0,8913551447.353498,32,135,16.5,23.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
