iso3,country,UNregion,r,g0,g0_year,vdem_year,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
CHN,China,Eastern Asia,0.0,13303.1481543868,2026,2024,665.15740771934,1408975000.0,937190158541.357,1,1,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
USA,United States,Northern America,0.6666666666666667,84534.0407841548,2026,2024,1408.900679735913,340110988.0,479182602178.8529,2,156,2.5,1.1,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
IND,India,Southern Asia,0.0,2694.73780859961,2026,2024,134.73689042998052,1450935791.0,195494576692.9041,3,1,12.0,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
RUS,Russia,Eastern Europe,0.1111111111111111,14889.0185546875,2026,2024,661.7341579861111,143533851.0,94981252033.98892,4,59,2.5,0.1,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
MEX,Mexico,Central America,0.2222222222222222,14185.7812248529,2026,2024,551.6692698553906,130861007.0,72191996184.23116,5,76,2.7,1.6,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
JPN,Japan,Eastern Asia,0.6666666666666666,32487.0778047567,2026,2024,541.4512967459451,123975371.0,67126625392.509636,6,148,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
KOR,South Korea,Eastern Asia,0.3333333333333333,36238.639908315,2026,2024,1207.9546636105003,51751065.0,62512940313.560135,7,89,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
SAU,Saudi Arabia,Western Asia,0.0,35121.6628687742,2026,2024,1756.08314343871,35300280.0,61990226666.666626,8,1,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
GBR,United Kingdom,Northern Europe,0.6666666666666666,53246.3676145108,2026,2024,887.4394602418467,69226000.0,61433884074.70208,9,148,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
BRA,Brazil,South America,0.4444444444444444,10310.5488778166,2026,2024,286.4041354949056,211998573.0,60717268026.21863,10,120,2.5,3.0,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
TUR,Türkiye,Western Asia,0.1111111111111111,15892.7157287241,2026,2024,706.3429212766267,85518661.0,60405500834.405525,11,59,2.5,0.2,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
IDN,Indonesia,South-eastern Asia,0.3333333333333333,4925.43048751861,2026,2024,164.18101625062036,283487931.0,46543336606.365746,12,89,6.3,5.4,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
ITA,Italy,Southern Europe,0.6666666666666667,40385.3413957669,2026,2024,673.0890232627816,58952704.0,39680417954.059875,13,156,2.5,0.9,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
FRA,France,Western Europe,0.7777777777777777,46103.0840855884,2026,2024,512.2564898398714,68551653.0,35116029138.50089,14,162,2.5,0.1,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
ARE,United Arab Emirates,Western Asia,0.0,50273.5060469837,2026,2024,2513.675302349185,10986400.0,27616242341.729088,15,1,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
DEU,Germany,Western Europe,0.8888888888888888,56103.7323182554,2026,2024,311.68740176808575,83516593.0,26031069876.6927,16,174,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
CAN,Canada,Northern America,0.7777777777777777,54340.3477224733,2026,2024,603.7816413608148,41288599.0,24929298073.708496,17,162,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
VNM,Vietnam,South-eastern Asia,0.0,4717.29028732449,2026,2024,235.8645143662245,100987686.0,23819411515.35877,18,1,5.3,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
